2025-12-06 08:53:35.531 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ARCSOL_USDT - Min1
2025-12-06 08:53:35.532 | DEBUG    | MexcSocket                               | 📡 Subscribed to: UAI_USDT - Min1
2025-12-06 08:53:35.532 | DEBUG    | MexcSocket                               | 📡 Subscribed to: MILK_USDT - Min1
2025-12-06 08:53:35.532 | DEBUG    | MexcSocket                               | 📡 Subscribed to: POPCAT_USDT - Min1
2025-12-06 08:53:35.532 | DEBUG    | MexcSocket                               | 📡 Subscribed to: EIGEN_USDT - Min1
2025-12-06 08:53:35.532 | DEBUG    | MexcSocket                               | 📡 Subscribed to: FIS_USDT - Min1
2025-12-06 08:53:35.533 | DEBUG    | MexcSocket                               | 📡 Subscribed to: FOLKS_USDT - Min1
2025-12-06 08:53:35.533 | DEBUG    | MexcSocket                               | 📡 Subscribed to: BAND_USDT - Min1
2025-12-06 08:53:35.533 | DEBUG    | MexcSocket                               | 📡 Subscribed to: HEMI_USDT - Min1
2025-12-06 08:53:35.533 | DEBUG    | MexcSocket                               | 📡 Subscribed to: MYX_USDT - Min1
2025-12-06 08:53:35.534 | DEBUG    | MexcSocket                               | 📡 Subscribed to: CRV_USDT - Min1
2025-12-06 08:53:35.534 | DEBUG    | MexcSocket                               | 📡 Subscribed to: FLOKI_USDT - Min1
2025-12-06 08:53:35.534 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ETHFI_USDT - Min1
2025-12-06 08:53:35.534 | DEBUG    | MexcSocket                               | 📡 Subscribed to: SVSA_USDT - Min1
2025-12-06 08:53:35.535 | DEBUG    | MexcSocket                               | 📡 Subscribed to: RENDER_USDT - Min1
2025-12-06 08:53:35.535 | DEBUG    | MexcSocket                               | 📡 Subscribed to: RESOLV_USDT - Min1
2025-12-06 08:53:35.535 | DEBUG    | MexcSocket                               | 📡 Subscribed to: TRAC_USDT - Min1
2025-12-06 08:53:35.535 | DEBUG    | MexcSocket                               | 📡 Subscribed to: BLESS_USDT - Min1
2025-12-06 08:53:35.535 | DEBUG    | MexcSocket                               | 📡 Subscribed to: JUP_USDT - Min1
2025-12-06 08:53:35.536 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ETC_USDT - Min1
2025-12-06 08:53:35.536 | DEBUG    | MexcSocket                               | 📡 Subscribed to: KGEN_USDT - Min1
2025-12-06 08:53:35.536 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ZKSYNC_USDT - Min1
2025-12-06 08:53:35.536 | DEBUG    | MexcSocket                               | 📡 Subscribed to: LYN_USDT - Min1
2025-12-06 08:53:35.536 | DEBUG    | MexcSocket                               | 📡 Subscribed to: SUSHI_USDT - Min1
